# featdisc games=200 players=2 seed=5001 weights=/tmp/fs_champ_2p_frozen.json decisions=58114 forced=2517 mean_candidates=11.899 max_candidates=43 successor_states=691487 elapsed_s=74.3
block	column	n_dec	const_frac	allzero_frac	mean_spread	max_spread	sd_chosen	spread_ratio	median_distinct	mean_distinct	p90_distinct
phi	RivalYellowBank	58114	0.988006	0.000430	1.885948e-2	8.000000e0	3.323924e0	0.005674	1	1.0120	1
phi	RivalColonies	58114	0.995646	0.533675	4.353512e-3	1.000000e0	7.816905e-1	0.005569	1	1.0044	1
phi	RivalMilActions	58114	0.999484	0.004818	7.399250e-4	2.000000e0	1.073944e0	0.000689	1	1.0005	1
phi	RivalBuildingWonder	58114	0.999673	0.669735	3.269436e-4	1.000000e0	4.703083e-1	0.000695	1	1.0003	1
phi	MySeededPending	58114	0.913739	0.083525	1.365076e-1	3.000000e0	2.369007e0	0.057622	1	1.0916	1
phi	MyEventThreat	58114	0.907148	0.604639	3.966119e-1	2.493605e1	2.746538e0	0.144404	1	1.1091	1
phi	AttackTargetLead	58114	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	AttackTargetWeakness	58114	0.932219	0.921447	2.472898e-1	1.600000e1	1.246879e0	0.198327	1	1.0855	1
phi	PactPartnerLead	58114	1.000000	1.000000	0.000000e0	0.000000e0	0.000000e0	0.000000	1	1.0000	1
phi	Strength	58114	0.433510	0.025003	1.164573e0	1.200000e1	3.402556e0	0.342264	2	1.9524	3
phi	StrengthRel	58114	0.433372	0.043483	1.120543e0	1.200000e1	4.706144e0	0.238102	2	1.9530	3
phi	StrengthDeficit	58114	0.671353	0.442217	5.325051e-1	8.000000e0	2.778846e0	0.191628	1	1.4633	3
phi	StrengthLead	58114	0.731665	0.539423	4.980900e-1	6.000000e0	2.148822e0	0.231797	1	1.4139	3
phi	TacticLevel	58114	0.669615	0.090047	4.640362e-1	2.000000e0	3.190404e-1	1.454475	1	1.4108	2
phi	TacticGain	58114	0.754397	0.742627	4.020890e-1	6.000000e0	2.218515e-1	1.812424	1	1.2826	2
phi	TacticShort	58114	0.573407	0.076780	4.797295e-1	3.000000e0	8.178511e-1	0.586573	1	1.4464	2
phi	HasUnit	58114	0.803920	0.157122	1.960801e-1	1.000000e0	3.772217e-1	0.519801	1	1.1961	2
